,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
130,Dahlem,52.45616934548006,13.278471323210491,H Königin-Luise-Straße / Clayallee,52.46005818714949,13.274828821219517,Bus Stop
131,Falkenberg,52.57685250171477,13.552657260375877,Reiterhof Groke,52.573532811368146,13.549509323999258,Farm
132,Falkenberg,52.57685250171477,13.552657260375877,Pferdehof Falkenberg,52.57271275906366,13.550244288288301,Farm
133,Falkenhagener Feld,52.55250046690626,13.16898602886217,REWE,52.5513166,13.1661056,Supermarket
134,Falkenhagener Feld,52.55250046690626,13.16898602886217,Rossmann,52.55064824425841,13.163899152872736,Drugstore
135,Falkenhagener Feld,52.55250046690626,13.16898602886217,PENNY,52.5505100991663,13.16406798779144,Supermarket
136,Falkenhagener Feld,52.55250046690626,13.16898602886217,Falken Grill,52.5516,13.1621,Snack Place
137,Fennpfuhl,52.53161400721214,13.473862032041925,Plötners Café,52.52918481002098,13.47068268269635,Café
138,Fennpfuhl,52.53161400721214,13.473862032041925,Schwimmhalle Anton-Saefkow-Platz,52.53115028150022,13.471510434388977,Pool
139,Fennpfuhl,52.53161400721214,13.473862032041925,Rossmann,52.528746755107,13.470687026688248,Drugstore
140,Fennpfuhl,52.53161400721214,13.473862032041925,Fennpfuhl-Park,52.528741990878515,13.475414233003196,Park
141,Fennpfuhl,52.53161400721214,13.473862032041925,REWE,52.52867261799575,13.470486868588068,Supermarket
142,Fennpfuhl,52.53161400721214,13.473862032041925,Lovely Sushi,52.529994665670216,13.474109172821045,Sushi Restaurant
143,Fennpfuhl,52.53161400721214,13.473862032041925,Restaurant Marco Polo Due,52.52996721099281,13.471591541323646,Italian Restaurant
144,Fennpfuhl,52.53161400721214,13.473862032041925,Beach Zone,52.53058322130006,13.476754147027126,Volleyball Court
145,Fennpfuhl,52.53161400721214,13.473862032041925,H Landsberger Allee / Weißenseer Weg,52.53269181492372,13.47814442683647,Tram Station
146,Fennpfuhl,52.53161400721214,13.473862032041925,Spiele Max,52.53271747692966,13.478187043322773,Toy / Game Store
147,Fennpfuhl,52.53161400721214,13.473862032041925,Anton-Saefkow-Platz,52.52866026402762,13.472749785303602,Plaza
148,Fennpfuhl,52.53161400721214,13.473862032041925,TEDi,52.528811209470206,13.47182009325411,Construction & Landscaping
149,Fennpfuhl,52.53161400721214,13.473862032041925,NORMA,52.52846755590664,13.470792004029361,Supermarket
150,Fennpfuhl,52.53161400721214,13.473862032041925,Renault Retail Group,52.53556,13.47455,Auto Dealership
151,Fennpfuhl,52.53161400721214,13.473862032041925,Holiday Inn,52.533468,13.4777654,Hotel
152,Fennpfuhl,52.53161400721214,13.473862032041925,H Judith-Auer-Straße,52.53418069728326,13.46798223271657,Tram Station
153,Fennpfuhl,52.53161400721214,13.473862032041925,City Hotel Berlin City East,52.53364767229011,13.477249406423558,Hotel
154,Fennpfuhl,52.53161400721214,13.473862032041925,Netto Marken-Discount,52.53064023,13.46844968,Supermarket
155,Fennpfuhl,52.53161400721214,13.473862032041925,H Hohenschönhauser Straße / Weißenseer Weg,52.53609684149261,13.47347617149353,Tram Station
156,Französisch,52.611293946073275,13.432990324744841,Rossmann,52.607502489057886,13.429487428614847,Drugstore
157,Französisch,52.611293946073275,13.432990324744841,Gartencenter Brenke,52.61159393122763,13.433758020401001,Garden Center
158,Französisch,52.611293946073275,13.432990324744841,ALDI NORD,52.613246935295535,13.434040994343048,Supermarket
159,Französisch,52.611293946073275,13.432990324744841,H Französisch Buchholz Kirche,52.606921055322836,13.433571664891998,Tram Station
160,Friedenau,52.47147348200186,13.32883953088205,Seoul-Kwan,52.47046452057505,13.330274178297588,Korean Restaurant
161,Friedenau,52.47147348200186,13.32883953088205,pane al caffè,52.47043876678622,13.334167997362965,Café
162,Friedenau,52.47147348200186,13.32883953088205,Frau Behrens Torten,52.471240812826586,13.335039286448925,Café
163,Friedenau,52.47147348200186,13.32883953088205,Friedrich-Wilhelm-Platz,52.47193267833883,13.328368663787842,Plaza
164,Friedenau,52.47147348200186,13.32883953088205,Tra My,52.47192918990401,13.335341489104312,Vietnamese Restaurant
165,Friedenau,52.47147348200186,13.32883953088205,Huong Giang,52.46918446587782,13.332147267769484,Vietnamese Restaurant
166,Friedenau,52.47147348200186,13.32883953088205,Lula am Markt,52.47201175490675,13.335469251204604,Bistro
167,Friedenau,52.47147348200186,13.32883953088205,Hotel Klee Berlin,52.47362582459176,13.328209795571548,Hotel
168,Friedenau,52.47147348200186,13.32883953088205,Ridders Kaffeerösterei,52.4692,13.331717,Coffee Roaster
169,Friedenau,52.47147348200186,13.32883953088205,Lula Deli & Grill,52.472331857004846,13.335067660142299,Café
170,Friedenau,52.47147348200186,13.32883953088205,DaBangg,52.47153598116325,13.336096189631295,Korean Restaurant
171,Friedenau,52.47147348200186,13.32883953088205,LuLa Deli Deluxe,52.47156510733492,13.335753081340616,Bistro
172,Friedenau,52.47147348200186,13.32883953088205,Eis Voh,52.46827082822972,13.328275510257482,Ice Cream Shop
173,Friedenau,52.47147348200186,13.32883953088205,Asia Time,52.46746175454236,13.331061788202133,Asian Restaurant
174,Friedenau,52.47147348200186,13.32883953088205,Eis Boutique,52.47209104505718,13.335506423723977,Ice Cream Shop
175,Friedenau,52.47147348200186,13.32883953088205,Offenbar,52.47229559318634,13.336064923687426,Cocktail Bar
176,Friedenau,52.47147348200186,13.32883953088205,nahkauf,52.47342916804555,13.327636388305075,Supermarket
177,Friedenau,52.47147348200186,13.32883953088205,BIO COMPANY,52.468018460330605,13.328283514289035,Organic Grocery
178,Friedenau,52.47147348200186,13.32883953088205,Fame Burger,52.47047155572995,13.33427822835686,Burger Joint
179,Friedenau,52.47147348200186,13.32883953088205,Kaisereiche,52.4687674044684,13.332516069039361,Tree
180,Friedenau,52.47147348200186,13.32883953088205,REWE,52.470003,13.333077,Supermarket
181,Friedenau,52.47147348200186,13.32883953088205,Glühwurm - Schwäbisches Restaurant,52.471482592735136,13.333006521123627,German Restaurant
182,Friedenau,52.47147348200186,13.32883953088205,SUBWAY,52.47166733705798,13.33583937074252,Sandwich Place
183,Friedrichsfelde,52.50260738420366,13.51780998628601,Schloss Friedrichsfelde,52.50467953265919,13.523569107055664,Palace
184,Friedrichsfelde,52.50260738420366,13.51780998628601,REWE,52.504821,13.515084,Supermarket
185,Friedrichsfelde,52.50260738420366,13.51780998628601,Kakadu Terrassencafé,52.5046129,13.5237485,Café
186,Friedrichsfelde,52.50260738420366,13.51780998628601,Krokodilhaus,52.50505198558496,13.522189248901753,Zoo Exhibit
187,Friedrichsfelde,52.50260738420366,13.51780998628601,Rossmann,52.5047165637255,13.5155213140671,Drugstore
